()||<BIN>72</BIN><BGM>BGM_Room</BGM>:Цель достигнута.
NPC-Seele(0)<Speaker>Сьера</Speaker><通讯框>||:Здесь все ваши протоколы были обновлены. +Новый интерфейс можно синхронизировать в сети Zener Network, используя тот же канал.+Теперь вы должны видеть сигналы друг друга.
NPC-Seele(0);G11(3)<Speaker>Gr G11</Speaker><通讯框>||:Ух ты! Что это за место?!
HK416(0)<Speaker>416</Speaker><通讯框>;G11(3)||:Так выглядит Zener Network на II уровне сознания?
HK416(0);UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:Ах да... Gr G11 и 416 не имели модулей для ведения электронной войны. Должно быть, вы впервые проникли в сеть Zener с аналоговым сигналом.
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:Хм, интересно...
HK416(0);NPC-Seele(0)<Speaker>Сьера</Speaker><通讯框>||:С новым протоколом можно увеличить скорость эмуляции сигнала, используя вычислительные возможности других Т-Кукол. +Поскольку мисс UMP45 является лидером, управление должно перейти к тебе.
HK416(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:Можно? Тогда давайте общаться как всегда в электронной сети.
HK416(0)<Speaker>416</Speaker>;UMP45(0)||:Это дерьмово. Могу я от этого отказаться?
HK416(0);G11(0)<Speaker>Gr G11</Speaker><通讯框>||:Давайте проясним. Мое сознание находится в сети, но мое тело все еще в капсуле для обслуживания... +Так я сплю или бодрствую...?
UMP9(0)<Speaker>UMP9</Speaker><通讯框>;G11(0)||:Хм. Похоже, концепция электронной войны слишком сложна для мозга Gr G11, который и так размером с горошину.
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:Просто считай это сном. Но если ты не будешь трудиться, то, возможно, никогда больше не проснешься.
NPC-Deele(0)<Speaker>Dier</Speaker><通讯框>;UMP45(0)||:О чем вы там болтаете? Похоже, вы полностью адаптировались к новому протоколу взаимодействия. +Босс скоро свяжется с вами. Когда поступит звонок, я вас вытащу.
NPC-Deele(0);UMP45(0)<Speaker>UMP45</Speaker>||:Тогда мы должны поспешить и помочь новичкам освоиться в сети Zener Network, 9-я.
UMP9(3)<Speaker>UMP9</Speaker><通讯框>;UMP45(0)||<黑屏1>:Хорошо, оставь это мне!

